309	9880
311	8751
313	8289
319	12186
323	6022
324	4034
328	1855
328	8869
334	10531
337	9685
343	5425
347	2994
347	7294
349	5555
354	4003
354	10287
358	4004
359	5641
360	7096
362	9335
362	10710
364	10018
364	10501
366	1874
369	1402
369	9682
373	3799
373	6302
374	4529
375	879
381	3693
385	1321
386	2910
387	7117
391	10659
392	5508
393	8294
394	856
394	4679
398	3405
398	4493
398	11524
399	377
404	1766
404	6122
404	9356
405	3926
407	4022
409	2859
410	915
410	7854
411	1854
411	3272
412	3757
413	4348
414	8435
415	7143
415	9713
415	11655
416	3220
416	5329
416	7665
416	9666
417	5670
417	11380
418	876
418	3802
418	7562
420	1088
420	8598
420	9689
421	2468
421	8276
423	11642
423	12117
423	12218
424	3700
425	266
426	103
426	6107
426	9619
427	8357
427	9581
428	1057
428	1286
428	10961
428	11793
429	1749
429	8555
430	2046
430	11953
431	8164
432	2253
432	2525
432	5117
433	1653
433	5051
433	6284
433	6925
434	213
434	4500
434	5015
434	5714
434	5717
435	5325
435	5330
436	4020
436	9391
436	12028
437	114
437	586
437	3224
437	4873
437	5867
437	6194
437	7960
437	8336
437	10898
438	3201
438	3667
438	4976
438	5895
438	7938
438	8417
438	10954
439	1374
439	5039
439	11139
439	11167
440	2822
440	8114
440	9587
441	7636
441	8070
441	8723
443	2168
443	4035
443	6986
443	7068
444	9790
444	9869
445	6934
445	9050
445	11677
445	12331
446	9261
447	10654
448	528
448	7148
448	9027
448	9540
448	10466
449	1735
449	6710
449	11329
449	12263
450	2805
450	5854
450	6267
450	7081
450	8241
450	9926
450	9971
450	10477
450	10716
450	12146
451	2321
451	2563
451	7241
451	7496
451	9337
451	11428
452	654
452	1272
452	1475
452	5653
452	5850
452	7522
452	12270
452	12418
453	23
453	325
453	1256
453	1941
453	2330
453	5022
453	5660
453	7571
453	8243
453	10190
453	11427
454	634
454	1863
454	2175
454	2301
454	2476
454	3322
454	3472
454	3883
454	4547
454	5134
454	5952
454	7843
454	7986
454	9932
454	10024
454	10098
454	12136
455	628
455	1265
455	1431
455	3898
455	4177
455	5754
455	5818
455	6953
455	8082
455	8116
455	9136
455	9600
455	10739
455	10969
455	12280
455	12440
456	2297
456	2638
456	2946
456	4158
456	6769
456	9018
456	9789
456	10776
456	11016
456	11148
456	12319
457	2496
457	3001
457	3794
457	4665
457	4884
457	5064
457	5877
457	7661
457	10116
458	580
458	1046
458	4511
458	7925
458	8643
458	9174
